,episode,id,depart_sec,arrival_sec,duration_sec,wait_step,wait_sec
205,1,f_0_3.23,189.00,732.00,543.00,22,269.00
206,1,f_0_3.24,197.00,733.00,536.00,21,259.00
207,1,f_1_4.27,446.00,733.00,287.00,11,115.00
208,1,f_1_3.0,300.00,737.00,437.00,18,173.00
209,1,f_1_5.8,338.00,739.00,401.00,13,122.00
210,1,f_1_0.1,308.00,741.00,433.00,11,227.00
211,1,f_1_1.3,324.00,741.00,417.00,14,191.00
212,1,f_1_4.30,471.00,749.00,278.00,10,104.00
213,1,f_0_1.20,273.00,750.00,477.00,18,264.00
214,1,f_0_5.35,287.00,764.00,477.00,20,211.00
215,1,f_1_1.1,308.00,768.00,460.00,18,226.00
216,1,f_0_3.33,271.00,769.00,498.00,16,239.00
217,1,f_1_4.31,475.00,769.00,294.00,10,104.00
218,1,f_1_0.13,402.00,778.00,376.00,13,180.00
219,1,f_1_5.26,437.00,778.00,341.00,10,160.00
220,1,f_0_3.25,205.00,779.00,574.00,18,302.00
221,1,f_0_2.18,257.00,780.00,523.00,13,344.00
222,1,f_1_0.2,316.00,780.00,464.00,14,250.00
223,1,f_1_0.26,504.00,782.00,278.00,8,128.00
224,1,f_0_3.26,213.00,783.00,570.00,18,307.00
225,1,f_1_4.32,479.00,784.00,305.00,12,115.00
226,1,f_1_0.27,511.00,784.00,273.00,9,119.00
227,1,f_0_3.34,279.00,786.00,507.00,17,253.00
228,1,f_1_4.33,486.00,786.00,300.00,13,101.00
229,1,f_1_0.28,519.00,786.00,267.00,7,109.00
230,1,f_0_3.35,287.00,788.00,501.00,19,237.00
231,1,f_1_0.29,527.00,788.00,261.00,8,101.00
232,1,f_1_4.34,496.00,789.00,293.00,13,95.00
233,1,f_0_3.36,295.00,790.00,495.00,22,233.00
234,1,f_1_0.17,433.00,791.00,358.00,11,159.00
235,1,f_0_3.27,221.00,793.00,572.00,22,307.00
236,1,f_1_0.18,441.00,793.00,352.00,12,145.00
237,1,f_0_3.28,230.00,796.00,566.00,25,273.00
238,1,f_1_0.20,457.00,796.00,339.00,12,130.00
239,1,f_1_5.24,435.00,798.00,363.00,10,183.00
240,1,f_1_5.31,448.00,800.00,352.00,10,137.00
241,1,f_1_3.1,305.00,805.00,500.00,24,209.00
242,1,f_1_3.2,310.00,807.00,497.00,24,208.00
243,1,f_1_4.35,500.00,808.00,308.00,12,104.00
244,1,f_0_5.29,238.00,810.00,572.00,18,269.00
245,1,f_1_3.3,315.00,810.00,495.00,22,191.00
246,1,f_1_0.14,410.00,810.00,400.00,15,163.00
247,1,f_1_1.5,340.00,811.00,471.00,20,247.00
248,1,f_1_1.2,316.00,818.00,502.00,15,265.00
249,1,f_1_4.36,503.00,818.00,315.00,14,114.00
250,1,f_1_5.17,380.00,819.00,439.00,14,228.00
251,1,f_0_5.31,254.00,821.00,567.00,21,286.00
252,1,f_1_4.37,505.00,821.00,316.00,13,107.00
253,1,f_1_5.18,385.00,824.00,439.00,16,227.00
254,1,f_1_4.38,507.00,829.00,322.00,14,105.00
255,1,f_1_4.39,510.00,834.00,324.00,12,131.00
256,1,f_1_1.6,347.00,836.00,489.00,20,260.00
257,1,f_1_4.40,513.00,837.00,324.00,12,125.00
258,1,f_1_0.30,535.00,837.00,302.00,7,126.00
259,1,f_1_5.25,435.00,839.00,404.00,14,173.00
260,1,f_1_0.31,543.00,839.00,296.00,7,120.00
261,1,f_1_1.8,363.00,840.00,477.00,19,196.00
262,1,f_1_0.32,550.00,842.00,292.00,7,109.00
263,1,f_1_0.33,558.00,844.00,286.00,8,120.00
264,1,f_1_5.30,447.00,848.00,401.00,12,183.00
265,1,f_1_3.4,319.00,849.00,530.00,19,230.00
266,1,f_1_5.29,446.00,849.00,403.00,12,172.00
267,1,f_1_0.34,566.00,853.00,287.00,11,88.00
268,1,f_1_4.41,516.00,854.00,338.00,12,138.00
269,1,f_1_5.9,343.00,855.00,512.00,15,247.00
270,1,f_1_0.35,574.00,855.00,281.00,11,77.00
271,1,f_1_0.16,425.00,857.00,432.00,16,177.00
272,1,f_1_0.36,582.00,861.00,279.00,12,64.00
273,1,f_1_0.11,386.00,865.00,479.00,21,206.00
274,1,f_1_1.18,562.00,867.00,305.00,9,151.00
275,1,f_1_0.19,449.00,868.00,419.00,16,154.00
