,episode,time_sec,step,action,reward
157,1,790,158.0,"4,1,2,3,4,0,2,3,0,0,1,3,3,3,2,2,4,3,1,4,2,0,4,0,1",-166.6
158,1,795,159.0,"1,2,0,1,3,1,2,1,0,1,0,0,1,4,0,1,2,2,4,0,0,1,4,1,0",-153.4
159,1,800,160.0,"2,2,2,2,0,0,0,1,3,0,0,2,0,0,1,1,1,2,0,2,1,3,2,0,2",-175.60000000000002
160,1,805,161.0,"3,4,1,4,4,2,2,2,0,3,2,1,2,4,2,0,4,4,3,4,2,0,2,0,0",-155.8
161,1,810,162.0,"1,0,1,1,1,0,4,0,1,0,0,0,3,0,3,4,1,4,4,1,0,3,0,2,4",-135.2
162,1,815,163.0,"0,4,4,4,2,0,0,0,3,2,4,1,2,0,3,2,0,4,2,3,1,1,1,0,1",-140.59999999999997
163,1,820,164.0,"0,1,0,4,4,0,1,4,0,0,0,1,3,0,2,3,1,0,1,2,1,1,2,4,0",-142.0
164,1,825,165.0,"0,3,0,3,0,4,1,2,2,0,2,4,1,1,2,0,2,1,2,0,4,0,3,4,2",-134.8
165,1,830,166.0,"1,4,2,3,0,1,0,3,3,0,0,0,0,3,2,2,0,4,4,2,0,2,2,0,2",-157.8
166,1,835,167.0,"1,3,2,1,4,2,0,2,3,0,0,2,3,0,2,0,0,0,4,1,1,2,0,3,0",-172.40000000000003
167,1,840,168.0,"0,3,0,3,0,3,3,1,1,0,0,1,0,3,1,1,4,2,0,0,1,0,1,3,0",-196.79999999999998
168,1,845,169.0,"3,2,2,1,2,1,0,4,2,4,0,1,4,4,3,4,4,0,0,0,4,4,0,2,0",-208.6
169,1,850,170.0,"3,2,0,2,0,4,0,0,3,3,2,2,0,0,0,0,1,3,1,2,3,4,4,0,0",-182.4
170,1,855,171.0,"0,0,0,2,3,1,1,2,3,3,0,2,2,3,3,4,3,3,0,0,4,0,1,3,1",-190.4
171,1,860,172.0,"0,0,0,4,0,4,4,0,0,2,2,0,2,2,0,3,4,3,0,0,3,0,2,1,3",-195.6
172,1,865,173.0,"2,4,2,0,3,4,0,0,4,4,0,2,3,4,2,0,0,4,1,3,0,1,2,4,2",-113.6
173,1,870,174.0,"0,0,2,4,2,0,0,2,3,2,0,2,0,3,0,1,2,2,3,0,3,3,0,4,2",-121.6
174,1,875,175.0,"3,4,3,2,2,0,0,1,1,4,0,1,0,3,1,1,3,3,2,1,1,0,2,3,2",-176.2
175,1,880,176.0,"4,4,1,0,2,2,1,4,0,4,0,3,0,2,0,4,1,1,1,2,0,2,2,4,0",-192.4
176,1,885,177.0,"0,1,4,2,4,1,2,1,0,0,4,4,4,0,1,3,1,0,3,0,3,3,3,3,0",-190.8
177,1,890,178.0,"2,1,3,3,0,4,0,1,0,4,3,2,4,2,4,3,0,0,2,3,1,1,4,2,2",-201.0
178,1,895,179.0,"3,4,0,2,4,1,0,3,0,2,0,3,3,3,4,3,3,4,4,0,1,3,2,3,2",-220.4
179,1,900,180.0,"2,3,0,0,2,3,2,4,1,2,0,3,1,0,0,2,1,1,1,0,1,1,1,0,1",-217.2
