,agent,step,test_id,avg_reward,std_reward
83,ia2c,60480,-1,-1025.8377777777778,923.9874313813025
84,ia2c,61200,-1,-1031.1424999999997,800.0871564845469
85,ia2c,61920,-1,-1475.4322222222224,1299.39927383796
86,ia2c,62640,-1,-988.1963888888889,726.1311660959394
87,ia2c,63360,-1,-1039.5630555555556,824.1161301132782
88,ia2c,64080,-1,-760.4880555555555,471.8564797944359
89,ia2c,64800,-1,-1229.9825,1241.9352117984502
90,ia2c,65520,-1,-1371.7441666666668,1230.9876251496307
91,ia2c,66240,-1,-802.6822222222223,625.7814667504904
92,ia2c,66960,-1,-837.7844444444445,569.2811990984013
93,ia2c,67680,-1,-936.3138888888889,672.9915412431842
94,ia2c,68400,-1,-1247.683888888889,1287.9102535875656
95,ia2c,69120,-1,-1116.230277777778,1006.1251474647844
96,ia2c,69840,-1,-1174.4569444444446,1035.567114640088
97,ia2c,70560,-1,-1122.5886111111113,834.5719515837405
98,ia2c,71280,-1,-1250.645,1189.0048344811069
99,ia2c,72000,-1,-751.696388888889,440.85307049485056
100,ia2c,72720,-1,-1128.951388888889,1078.5819393090294
101,ia2c,73440,-1,-1231.3697222222222,1060.4562872362121
102,ia2c,74160,-1,-815.9052777777779,547.2219211363386
103,ia2c,74880,-1,-1261.671111111111,1152.4144724345244
104,ia2c,75600,-1,-797.2522222222224,504.1116221693097
