,agent,step,test_id,avg_reward,std_reward
76,ma2c,55440,-1,-1121.7486111111111,1012.6092927971687
77,ma2c,56160,-1,-733.5355555555557,517.3485574029502
78,ma2c,56880,-1,-832.7180555555556,552.7652597085525
79,ma2c,57600,-1,-1167.4172222222223,1089.4454706832664
80,ma2c,58320,-1,-1088.726111111111,923.5044224079811
81,ma2c,59040,-1,-880.1919444444444,644.661488941287
82,ma2c,59760,-1,-1043.0822222222223,919.6142979626209
83,ma2c,60480,-1,-1005.6316666666668,911.0257839365593
84,ma2c,61200,-1,-853.6283333333333,538.5725208337519
85,ma2c,61920,-1,-982.3058333333335,859.2238482551661
86,ma2c,62640,-1,-933.3202777777777,668.2507481227309
87,ma2c,63360,-1,-622.5805555555555,333.1550572593326
88,ma2c,64080,-1,-924.7594444444444,731.3383399401115
89,ma2c,64800,-1,-1251.616111111111,1144.1900012995068
90,ma2c,65520,-1,-885.9647222222222,561.9584596450075
91,ma2c,66240,-1,-930.6697222222223,901.2931123760957
92,ma2c,66960,-1,-988.7341666666666,803.8797062091201
93,ma2c,67680,-1,-1536.4305555555557,1398.7549822211824
94,ma2c,68400,-1,-1134.7744444444445,970.2148452288644
95,ma2c,69120,-1,-1033.4991666666667,1174.8152425425951
96,ma2c,69840,-1,-703.1408333333333,529.4821699855802
97,ma2c,70560,-1,-658.3605555555556,407.0844958696771
98,ma2c,71280,-1,-761.2108333333334,551.8918710967203
99,ma2c,72000,-1,-760.2630555555556,462.21961611770325
100,ma2c,72720,-1,-1051.3319444444446,937.2806178761083
101,ma2c,73440,-1,-935.5213888888887,757.3077375283401
102,ma2c,74160,-1,-719.3225000000001,515.6072072425061
103,ma2c,74880,-1,-1200.5027777777777,1053.5479936297031
104,ma2c,75600,-1,-1156.1716666666666,863.503538484354
105,ma2c,76320,-1,-685.4225000000001,428.60526827577615
