,agent,step,test_id,avg_reward,std_reward
57,fuzzy_ma2c,41760,-1,-774.7688888888889,568.2259467743922
58,fuzzy_ma2c,42480,-1,-668.0994444444445,497.78663300624237
59,fuzzy_ma2c,43200,-1,-759.3880555555556,545.9613103117566
60,fuzzy_ma2c,43920,-1,-573.4980555555555,306.4267655784752
61,fuzzy_ma2c,44640,-1,-577.0952777777778,314.0236821924433
62,fuzzy_ma2c,45360,-1,-825.5594444444445,653.7567289814923
63,fuzzy_ma2c,46080,-1,-764.06,553.717798220959
64,fuzzy_ma2c,46800,-1,-890.9919444444444,843.28415784927
65,fuzzy_ma2c,47520,-1,-759.5508333333333,544.2937623648701
66,fuzzy_ma2c,48240,-1,-791.0330555555556,532.4093149349967
67,fuzzy_ma2c,48960,-1,-756.9291666666667,463.9334770732821
68,fuzzy_ma2c,49680,-1,-832.0205555555556,726.8446992306482
69,fuzzy_ma2c,50400,-1,-1365.2416666666668,1144.645892568964
70,fuzzy_ma2c,51120,-1,-663.8605555555556,521.0335622584129
71,fuzzy_ma2c,51840,-1,-635.3163888888889,344.18651961830216
72,fuzzy_ma2c,52560,-1,-918.4669444444444,679.2466325247548
73,fuzzy_ma2c,53280,-1,-873.2638888888889,670.3005136391263
74,fuzzy_ma2c,54000,-1,-851.1911111111111,647.6789115576817
75,fuzzy_ma2c,54720,-1,-501.8058333333333,231.12950462979984
76,fuzzy_ma2c,55440,-1,-707.0080555555556,507.0583862848289
77,fuzzy_ma2c,56160,-1,-956.7408333333335,776.3844612471146
78,fuzzy_ma2c,56880,-1,-847.81,649.4119389536626
79,fuzzy_ma2c,57600,-1,-1022.0222222222222,918.3791240583449
80,fuzzy_ma2c,58320,-1,-954.9722222222224,692.5810498141922
81,fuzzy_ma2c,59040,-1,-652.4372222222223,427.40848033111206
82,fuzzy_ma2c,59760,-1,-688.6069444444445,359.0268069635489
83,fuzzy_ma2c,60480,-1,-680.5761111111111,446.1339552027805
84,fuzzy_ma2c,61200,-1,-711.0211111111112,429.2466083459987
85,fuzzy_ma2c,61920,-1,-689.8466666666666,389.3032174996189
86,fuzzy_ma2c,62640,-1,-795.0736111111111,510.20312531520653
87,fuzzy_ma2c,63360,-1,-888.0394444444445,814.5958552829347
