,episode,id,depart_sec,arrival_sec,duration_sec,wait_step,wait_sec
186,1,f_1_4.9,372.00,688.00,316.00,13,190.00
187,1,f_1_4.4,345.00,689.00,344.00,15,196.00
188,1,f_1_5.6,329.00,689.00,360.00,15,136.00
189,1,f_1_1.6,347.00,689.00,342.00,13,157.00
190,1,f_0_1.20,273.00,694.00,421.00,13,193.00
191,1,f_0_0.16,219.00,698.00,479.00,21,200.00
192,1,f_1_4.7,366.00,698.00,332.00,14,185.00
193,1,f_0_3.32,262.00,700.00,438.00,17,190.00
194,1,f_1_4.8,370.00,700.00,330.00,12,172.00
195,1,f_0_3.21,172.00,701.00,529.00,21,248.00
196,1,f_0_2.16,222.00,701.00,479.00,17,219.00
197,1,f_1_4.18,481.00,701.00,220.00,9,80.00
198,1,f_1_1.2,316.00,702.00,386.00,18,184.00
199,1,f_1_4.11,374.00,703.00,329.00,13,176.00
200,1,f_0_1.21,287.00,706.00,419.00,15,177.00
201,1,f_1_5.7,333.00,707.00,374.00,14,148.00
202,1,f_0_2.17,233.00,710.00,477.00,17,209.00
203,1,f_0_2.18,246.00,716.00,470.00,19,203.00
204,1,f_1_4.12,378.00,717.00,339.00,12,172.00
205,1,f_1_4.13,381.00,720.00,339.00,14,173.00
206,1,f_1_4.14,385.00,721.00,336.00,12,164.00
207,1,f_1_4.15,426.00,722.00,296.00,12,123.00
208,1,f_1_5.14,366.00,724.00,358.00,12,135.00
209,1,f_0_3.27,221.00,728.00,507.00,19,240.00
210,1,f_1_0.6,347.00,731.00,384.00,11,211.00
211,1,f_1_0.7,355.00,737.00,382.00,8,181.00
212,1,f_1_0.0,300.00,739.00,439.00,16,181.00
213,1,f_1_0.2,316.00,740.00,424.00,16,157.00
214,1,f_1_0.8,363.00,742.00,379.00,12,224.00
215,1,f_1_4.16,430.00,744.00,314.00,13,130.00
216,1,f_1_4.31,503.00,745.00,242.00,10,81.00
217,1,f_0_2.19,262.00,746.00,484.00,20,202.00
218,1,f_1_4.17,446.00,747.00,301.00,11,143.00
219,1,f_0_0.17,232.00,748.00,516.00,18,281.00
220,1,f_0_3.33,271.00,749.00,478.00,17,236.00
221,1,f_1_4.22,484.00,749.00,265.00,11,112.00
