,episode,id,depart_sec,arrival_sec,duration_sec,wait_step,wait_sec
181,1,f_1_4.11,608.00,843.00,235.00,5,156.00
182,1,f_1_4.6,556.00,845.00,289.00,8,185.00
183,1,f_1_2.11,386.00,847.00,461.00,15,217.00
184,1,f_1_2.24,488.00,849.00,361.00,14,176.00
185,1,f_1_2.25,496.00,855.00,359.00,16,174.00
186,1,f_1_3.0,300.00,856.00,556.00,20,291.00
187,1,f_1_2.26,504.00,858.00,354.00,13,137.00
188,1,f_1_2.27,511.00,860.00,349.00,14,126.00
189,1,f_2_2.1,607.00,862.00,255.00,8,103.00
190,1,f_1_3.1,305.00,865.00,560.00,18,283.00
191,1,f_1_4.7,560.00,872.00,312.00,12,199.00
192,1,f_1_4.8,563.00,874.00,311.00,10,190.00
193,1,f_1_2.8,363.00,874.00,511.00,18,237.00
194,1,f_0_0.17,382.00,880.00,498.00,10,327.00
195,1,f_1_1.1,402.00,886.00,484.00,11,331.00
196,1,f_1_2.28,519.00,886.00,367.00,14,148.00
197,1,f_2_2.2,613.00,896.00,283.00,10,125.00
198,1,f_1_3.2,310.00,904.00,594.00,18,320.00
199,1,f_2_2.3,619.00,904.00,285.00,8,111.00
200,1,f_1_4.9,591.00,907.00,316.00,11,191.00
201,1,f_1_1.3,522.00,911.00,389.00,15,200.00
202,1,f_0_5.26,282.00,914.00,632.00,16,390.00
203,1,f_1_4.10,594.00,914.00,320.00,12,190.00
204,1,f_0_5.22,264.00,916.00,652.00,16,416.00
205,1,f_0_5.9,74.00,920.00,846.00,10,668.00
206,1,f_1_3.7,333.00,927.00,594.00,16,360.00
207,1,f_1_3.3,315.00,930.00,615.00,23,297.00
208,1,f_1_4.12,611.00,936.00,325.00,11,204.00
209,1,f_1_3.8,338.00,937.00,599.00,19,353.00
210,1,f_1_2.12,394.00,941.00,547.00,19,267.00
211,1,f_1_2.13,402.00,948.00,546.00,22,240.00
212,1,f_0_5.13,211.00,949.00,738.00,11,547.00
213,1,f_0_5.8,66.00,951.00,885.00,16,669.00
214,1,f_0_5.27,286.00,958.00,672.00,21,422.00
215,1,f_1_4.13,614.00,958.00,344.00,11,207.00
216,1,f_3_10.0,900.00,964.00,64.00,1,4.00
217,1,f_3_9.0,900.00,968.00,68.00,3,9.00
218,1,f_1_3.4,319.00,970.00,651.00,19,360.00
219,1,f_2_2.4,625.00,971.00,346.00,9,161.00
220,1,f_2_2.5,631.00,974.00,343.00,10,147.00
221,1,f_0_1.20,276.00,976.00,700.00,18,461.00
222,1,f_1_2.14,410.00,977.00,567.00,19,277.00
223,1,f_1_5.1,592.00,978.00,386.00,8,223.00
224,1,f_1_2.38,597.00,983.00,386.00,16,187.00
225,1,f_0_5.30,394.00,994.00,600.00,21,362.00
226,1,f_1_4.19,643.00,994.00,351.00,11,227.00
227,1,f_1_2.34,566.00,997.00,431.00,10,225.00
228,1,f_3_11.0,900.00,999.00,99.00,3,30.00
229,1,f_2_2.6,637.00,1001.00,364.00,9,180.00
230,1,f_1_4.18,642.00,1003.00,361.00,10,222.00
231,1,f_1_1.5,567.00,1012.00,445.00,16,256.00
232,1,f_3_9.1,913.00,1012.00,99.00,3,37.00
233,1,f_1_3.10,371.00,1015.00,644.00,18,337.00
234,1,f_0_1.21,287.00,1021.00,734.00,15,528.00
235,1,f_0_1.22,312.00,1024.00,712.00,16,494.00
236,1,f_3_9.2,926.00,1028.00,102.00,4,24.00
237,1,f_0_5.29,394.00,1029.00,635.00,20,410.00
238,1,f_1_3.11,374.00,1030.00,656.00,22,373.00
239,1,f_2_2.7,643.00,1035.00,392.00,12,162.00
240,1,f_2_2.8,649.00,1037.00,388.00,12,158.00
241,1,f_3_6.0,900.00,1038.00,138.00,3,15.00
242,1,f_3_6.1,922.00,1039.00,117.00,3,11.00
243,1,f_2_2.9,655.00,1043.00,388.00,10,157.00
244,1,f_3_6.2,944.00,1043.00,99.00,2,9.00
245,1,f_3_10.1,913.00,1053.00,140.00,3,69.00
246,1,f_1_1.0,322.00,1057.00,735.00,15,524.00
247,1,f_1_4.17,641.00,1057.00,416.00,14,233.00
248,1,f_1_4.14,617.00,1058.00,441.00,16,239.00
249,1,f_1_4.15,626.00,1060.00,434.00,15,225.00
